,0
80,2004-02-13 18:02:39.000000
81,2004-02-15 04:22:39.000000
82,2004-02-13 07:22:39.000000
83,2004-02-18 01:22:39.000000
84,2004-02-19 00:02:39.000000
85,2004-02-14 01:02:39.000000
86,2004-02-14 02:32:39.000000
87,2004-02-18 04:02:39.000000
88,2004-02-12 12:02:39.000000
89,2004-02-17 01:12:39.000000
90,2004-02-17 11:22:39.000000
91,2004-02-15 05:22:39.000000
92,2004-02-16 12:22:39.000000
93,2004-02-16 17:12:39.000000
94,2004-02-19 01:12:39.000000
95,2004-02-18 23:22:39.000000
96,2004-02-15 21:22:39.000000
97,2004-02-16 07:22:39.000000
98,2004-02-14 12:02:39.000000
99,2004-02-13 05:52:39.000000
100,2004-02-15 18:42:39.000000
101,2004-02-18 12:02:39.000000
102,2004-02-16 01:42:39.000000
103,2004-02-16 13:12:39.000000
104,2004-02-18 20:52:39.000000
105,2004-02-12 19:12:39.000000
106,2004-02-13 19:22:39.000000
107,2004-02-12 23:42:39.000000
108,2004-02-15 13:02:39.000000
109,2004-02-18 17:22:39.000000
110,2004-02-13 04:12:39.000000
111,2004-02-19 04:52:39.000000
112,2004-02-17 19:52:39.000000
113,2004-02-15 22:02:39.000000
114,2004-02-12 20:12:39.000000
115,2004-02-15 00:42:39.000000
116,2004-02-12 21:42:39.000000
117,2004-02-17 00:22:39.000000
118,2004-02-17 15:52:39.000000
119,2004-02-13 17:12:39.000000
120,2004-02-18 01:52:39.000000
121,2004-02-15 11:02:39.000000
122,2004-02-16 10:32:39.000000
123,2004-02-15 18:52:39.000000
124,2004-02-14 01:22:39.000000
125,2004-02-16 22:52:39.000000
126,2004-02-18 14:22:39.000000
127,2004-02-13 23:02:39.000000
128,2004-02-13 22:02:39.000000
129,2004-02-16 17:02:39.000000
130,2004-02-18 20:12:39.000000
131,2004-02-16 04:42:39.000000
132,2004-02-14 19:12:39.000000
133,2004-02-17 05:52:39.000000
134,2004-02-18 04:52:39.000000
135,2004-02-17 20:02:39.000000
136,2004-02-13 12:32:39.000000
137,2004-02-17 13:02:39.000000
138,2004-02-15 23:12:39.000000
139,2004-02-12 14:12:39.000000
140,2004-02-12 12:52:39.000000
141,2004-02-18 12:32:39.000000
142,2004-02-15 12:12:39.000000
143,2004-02-17 12:32:39.000000
144,2004-02-12 21:02:39.000000
145,2004-02-18 05:12:39.000000
146,2004-02-16 09:52:39.000000
147,2004-02-18 22:52:39.000000
148,2004-02-17 06:02:39.000000
149,2004-02-18 08:42:39.000000
150,2004-02-12 17:32:39.000000
151,2004-02-14 12:22:39.000000
152,2004-02-12 16:32:39.000000
153,2004-02-14 15:12:39.000000
154,2004-02-17 07:02:39.000000
155,2004-02-13 22:12:39.000000
156,2004-02-13 00:32:39.000000
157,2004-02-16 22:12:39.000000
158,2004-02-15 20:22:39.000000
159,2004-02-13 08:42:39.000000
160,2004-02-17 04:42:39.000000
161,2004-02-12 22:32:39.000000
162,2004-02-19 00:42:39.000000
163,2004-02-14 09:52:39.000000
164,2004-02-13 13:52:39.000000
165,2004-02-16 04:32:39.000000
166,2004-02-15 12:32:39.000000
167,2004-02-17 20:42:39.000000
168,2004-02-12 11:02:39.000000
169,2004-02-18 01:42:39.000000
170,2004-02-17 20:32:39.000000
171,2004-02-17 07:42:39.000000
172,2004-02-19 05:22:39.000000
173,2004-02-15 11:12:39.000000
174,2004-02-12 13:32:39.000000
175,2004-02-13 16:12:39.000000
176,2004-02-13 11:52:39.000000
177,2004-02-13 04:52:39.000000
178,2004-02-16 01:32:39.000000
179,2004-02-15 07:42:39.000000
180,2004-02-15 03:22:39.000000
181,2004-02-16 19:02:39.000000
182,2004-02-15 23:22:39.000000
183,2004-02-15 08:22:39.000000
184,2004-02-15 02:22:39.000000
185,2004-02-13 22:52:39.000000
186,2004-02-19 02:32:39.000000
187,2004-02-13 08:22:39.000000
188,2004-02-17 02:02:39.000000
189,2004-02-14 21:22:39.000000
190,2004-02-14 05:02:39.000000
191,2004-02-18 02:02:39.000000
192,2004-02-13 13:32:39.000000
193,2004-02-16 07:52:39.000000
194,2004-02-15 15:22:39.000000
195,2004-02-16 19:52:39.000000
196,2004-02-15 09:12:39.000000
197,2004-02-14 04:02:39.000000
198,2004-02-18 08:22:39.000000
199,2004-02-15 23:42:39.000000
200,2004-02-18 10:52:39.000000
201,2004-02-13 14:52:39.000000
202,2004-02-17 06:52:39.000000
203,2004-02-14 03:12:39.000000
204,2004-02-15 07:12:39.000000
205,2004-02-14 00:32:39.000000
206,2004-02-12 20:32:39.000000
207,2004-02-14 20:32:39.000000
208,2004-02-18 01:02:39.000000
209,2004-02-14 22:22:39.000000
210,2004-02-17 04:02:39.000000
211,2004-02-15 11:52:39.000000
212,2004-02-15 21:42:39.000000
213,2004-02-14 14:02:39.000000
214,2004-02-13 18:32:39.000000
215,2004-02-15 06:52:39.000000
216,2004-02-13 05:02:39.000000
217,2004-02-18 15:52:39.000000
218,2004-02-15 09:32:39.000000
219,2004-02-15 10:32:39.000000
220,2004-02-13 11:22:39.000000
221,2004-02-17 10:22:39.000000
222,2004-02-15 19:22:39.000000
223,2004-02-18 09:12:39.000000
224,2004-02-17 02:32:39.000000
225,2004-02-13 21:12:39.000000
226,2004-02-17 13:42:39.000000
227,2004-02-18 13:02:39.000000
228,2004-02-15 16:22:39.000000
229,2004-02-15 20:02:39.000000
230,2004-02-17 18:42:39.000000
231,2004-02-16 20:12:39.000000
232,2004-02-14 19:42:39.000000
233,2004-02-13 11:02:39.000000
234,2004-02-17 16:42:39.000000
235,2004-02-16 21:22:39.000000
236,2004-02-17 02:42:39.000000
237,2004-02-13 10:42:39.000000
238,2004-02-15 00:22:39.000000
239,2004-02-18 00:42:39.000000
240,2004-02-12 13:12:39.000000
241,2004-02-17 23:52:39.000000
242,2004-02-15 11:42:39.000000
243,2004-02-16 06:32:39.000000
244,2004-02-13 01:52:39.000000
245,2004-02-19 00:32:39.000000
246,2004-02-14 04:22:39.000000
247,2004-02-14 23:22:39.000000
248,2004-02-14 13:52:39.000000
249,2004-02-19 01:32:39.000000
250,2004-02-15 17:52:39.000000
251,2004-02-13 15:02:39.000000
252,2004-02-16 10:42:39.000000
253,2004-02-17 01:22:39.000000
254,2004-02-17 10:32:39.000000
255,2004-02-18 23:12:39.000000
256,2004-02-15 17:12:39.000000
257,2004-02-17 06:22:39.000000
258,2004-02-13 19:42:39.000000
259,2004-02-18 06:52:39.000000
260,2004-02-12 18:32:39.000000
261,2004-02-16 05:42:39.000000
262,2004-02-18 12:42:39.000000
263,2004-02-17 06:12:39.000000
264,2004-02-18 06:42:39.000000
265,2004-02-13 05:42:39.000000
266,2004-02-14 12:12:39.000000
267,2004-02-17 22:22:39.000000
268,2004-02-17 00:42:39.000000
269,2004-02-18 16:02:39.000000
270,2004-02-15 16:52:39.000000
271,2004-02-16 09:02:39.000000
272,2004-02-18 11:42:39.000000
273,2004-02-12 18:12:39.000000
274,2004-02-13 20:12:39.000000
275,2004-02-12 16:42:39.000000
276,2004-02-14 18:42:39.000000
277,2004-02-18 18:02:39.000000
278,2004-02-12 16:22:39.000000
279,2004-02-18 04:32:39.000000
280,2004-02-16 13:22:39.000000
281,2004-02-17 20:52:39.000000
282,2004-02-13 16:42:39.000000
283,2004-02-16 15:22:39.000000
284,2004-02-16 18:12:39.000000
285,2004-02-17 14:42:39.000000
286,2004-02-17 05:32:39.000000
287,2004-02-15 18:32:39.000000
288,2004-02-14 16:02:39.000000
289,2004-02-14 05:12:39.000000
290,2004-02-12 12:22:39.000000
291,2004-02-13 09:52:39.000000
292,2004-02-17 15:12:39.000000
293,2004-02-16 14:02:39.000000
294,2004-02-18 08:32:39.000000
295,2004-02-17 04:22:39.000000
296,2004-02-18 19:02:39.000000
297,2004-02-16 14:42:39.000000
298,2004-02-16 08:12:39.000000
299,2004-02-17 19:12:39.000000
300,2004-02-12 16:12:39.000000
301,2004-02-17 01:02:39.000000
302,2004-02-14 18:32:39.000000
303,2004-02-17 04:12:39.000000
304,2004-02-17 17:32:39.000000
305,2004-02-17 18:12:39.000000
306,2004-02-15 04:12:39.000000
307,2004-02-18 16:12:39.000000
308,2004-02-14 03:02:39.000000
309,2004-02-19 00:12:39.000000
310,2004-02-14 21:52:39.000000
311,2004-02-14 09:02:39.000000
312,2004-02-17 07:22:39.000000
313,2004-02-13 08:32:39.000000
314,2004-02-17 12:02:39.000000
315,2004-02-16 10:52:39.000000
316,2004-02-19 04:32:39.000000
317,2004-02-18 00:32:39.000000
318,2004-02-13 17:52:39.000000
319,2004-02-17 09:42:39.000000
320,2004-02-16 03:12:39.000000
321,2004-02-14 07:52:39.000000
322,2004-02-15 02:02:39.000000
323,2004-02-17 19:02:39.000000
324,2004-02-13 02:52:39.000000
325,2004-02-17 15:42:39.000000
326,2004-02-14 15:52:39.000000
327,2004-02-15 00:32:39.000000
328,2004-02-13 12:42:39.000000
329,2004-02-14 16:22:39.000000
330,2004-02-17 03:02:39.000000
331,2004-02-16 23:12:39.000000
332,2004-02-18 09:52:39.000000
333,2004-02-15 09:02:39.000000
334,2004-02-13 19:52:39.000000
335,2004-02-14 04:12:39.000000
336,2004-02-17 21:02:39.000000
337,2004-02-17 01:52:39.000000
338,2004-02-14 11:02:39.000000
339,2004-02-18 12:12:39.000000
340,2004-02-15 16:12:39.000000
341,2004-02-19 02:52:39.000000
342,2004-02-15 15:12:39.000000
343,2004-02-16 00:52:39.000000
344,2004-02-14 10:42:39.000000
345,2004-02-13 13:22:39.000000
346,2004-02-18 09:02:39.000000
347,2004-02-14 14:42:39.000000
348,2004-02-15 16:02:39.000000
349,2004-02-13 01:12:39.000000
350,2004-02-13 22:22:39.000000
351,2004-02-17 23:32:39.000000
352,2004-02-14 23:02:39.000000
353,2004-02-16 07:42:39.000000
354,2004-02-17 08:52:39.000000
355,2004-02-15 10:42:39.000000
356,2004-02-13 10:02:39.000000
357,2004-02-15 23:52:39.000000
358,2004-02-15 15:32:39.000000
359,2004-02-14 07:42:39.000000
360,2004-02-17 20:22:39.000000
361,2004-02-14 11:42:39.000000
362,2004-02-14 09:22:39.000000
363,2004-02-16 20:52:39.000000
364,2004-02-16 00:02:39.000000
365,2004-02-12 19:52:39.000000
366,2004-02-12 17:22:39.000000
367,2004-02-17 09:22:39.000000
368,2004-02-18 03:02:39.000000
369,2004-02-18 08:12:39.000000
370,2004-02-18 11:52:39.000000
371,2004-02-13 15:42:39.000000
372,2004-02-16 17:42:39.000000
373,2004-02-14 20:52:39.000000
374,2004-02-15 08:52:39.000000
375,2004-02-16 09:22:39.000000
376,2004-02-12 20:22:39.000000
377,2004-02-15 19:12:39.000000
378,2004-02-18 06:32:39.000000
379,2004-02-13 02:32:39.000000
380,2004-02-16 09:12:39.000000
381,2004-02-15 21:52:39.000000
382,2004-02-15 02:42:39.000000
383,2004-02-15 17:42:39.000000
384,2004-02-16 12:02:39.000000
385,2004-02-14 06:32:39.000000
386,2004-02-14 17:42:39.000000
387,2004-02-13 07:52:39.000000
388,2004-02-18 05:32:39.000000
389,2004-02-12 14:32:39.000000
390,2004-02-15 14:52:39.000000
391,2004-02-15 00:12:39.000000
392,2004-02-18 01:32:39.000000
393,2004-02-18 17:52:39.000000
394,2004-02-12 22:02:39.000000
395,2004-02-17 17:02:39.000000
396,2004-02-15 15:52:39.000000
397,2004-02-19 03:02:39.000000
398,2004-02-14 16:12:39.000000
399,2004-02-15 14:12:39.000000
400,2004-02-15 03:32:39.000000
401,2004-02-14 09:42:39.000000
402,2004-02-18 00:12:39.000000
403,2004-02-16 08:02:39.000000
404,2004-02-15 03:52:39.000000
405,2004-02-16 02:42:39.000000
406,2004-02-14 04:42:39.000000
407,2004-02-18 22:22:39.000000
408,2004-02-14 18:02:39.000000
409,2004-02-12 15:52:39.000000
410,2004-02-19 02:02:39.000000
411,2004-02-14 14:12:39.000000
412,2004-02-16 00:22:39.000000
413,2004-02-17 14:12:39.000000
414,2004-02-17 05:02:39.000000
415,2004-02-16 16:42:39.000000
416,2004-02-16 12:42:39.000000
417,2004-02-13 18:22:39.000000
418,2004-02-17 05:42:39.000000
419,2004-02-15 21:02:39.000000
420,2004-02-18 05:02:39.000000
421,2004-02-12 22:12:39.000000
422,2004-02-16 10:22:39.000000
423,2004-02-16 06:42:39.000000
424,2004-02-13 08:02:39.000000
425,2004-02-13 14:02:39.000000
426,2004-02-18 02:52:39.000000
427,2004-02-17 18:22:39.000000
428,2004-02-19 03:12:39.000000
429,2004-02-13 03:52:39.000000
430,2004-02-15 07:02:39.000000
431,2004-02-18 15:22:39.000000
432,2004-02-15 01:52:39.000000
433,2004-02-14 03:22:39.000000
434,2004-02-12 23:02:39.000000
435,2004-02-15 19:52:39.000000
436,2004-02-12 19:22:39.000000
437,2004-02-18 07:12:39.000000
438,2004-02-12 21:52:39.000000
439,2004-02-14 15:42:39.000000
440,2004-02-17 11:12:39.000000
441,2004-02-12 22:52:39.000000
442,2004-02-18 21:22:39.000000
443,2004-02-16 17:22:39.000000
444,2004-02-18 02:22:39.000000
445,2004-02-18 23:42:39.000000
446,2004-02-16 14:32:39.000000
447,2004-02-18 03:22:39.000000
448,2004-02-15 23:02:39.000000
449,2004-02-15 05:12:39.000000
450,2004-02-17 00:52:39.000000
451,2004-02-16 19:32:39.000000
452,2004-02-18 22:32:39.000000
453,2004-02-15 23:32:39.000000
454,2004-02-14 11:12:39.000000
455,2004-02-14 12:42:39.000000
456,2004-02-13 11:12:39.000000
457,2004-02-15 17:02:39.000000
458,2004-02-15 03:02:39.000000
459,2004-02-13 06:02:39.000000
460,2004-02-16 16:22:39.000000
461,2004-02-14 12:32:39.000000
462,2004-02-16 18:22:39.000000
463,2004-02-14 16:32:39.000000
464,2004-02-16 11:52:39.000000
465,2004-02-13 04:22:39.000000
466,2004-02-17 16:12:39.000000
467,2004-02-17 00:12:39.000000
468,2004-02-12 14:52:39.000000
469,2004-02-17 10:12:39.000000
470,2004-02-17 08:32:39.000000
471,2004-02-13 12:02:39.000000
472,2004-02-16 18:52:39.000000
473,2004-02-14 08:32:39.000000
474,2004-02-14 10:22:39.000000
475,2004-02-15 09:52:39.000000
476,2004-02-14 13:02:39.000000
477,2004-02-15 05:32:39.000000
478,2004-02-18 21:12:39.000000
479,2004-02-14 10:32:39.000000
480,2004-02-12 17:42:39.000000
481,2004-02-16 05:02:39.000000
482,2004-02-16 14:12:39.000000
483,2004-02-16 07:02:39.000000
484,2004-02-12 21:22:39.000000
485,2004-02-17 19:32:39.000000
486,2004-02-17 22:52:39.000000
487,2004-02-17 21:12:39.000000
488,2004-02-14 01:52:39.000000
489,2004-02-13 13:42:39.000000
490,2004-02-12 14:42:39.000000
491,2004-02-16 03:32:39.000000
492,2004-02-12 17:02:39.000000
493,2004-02-19 03:22:39.000000
494,2004-02-17 23:02:39.000000
495,2004-02-18 12:22:39.000000
496,2004-02-14 08:02:39.000000
497,2004-02-13 02:12:39.000000
498,2004-02-18 00:22:39.000000
499,2004-02-19 06:12:39.000000
500,2004-02-16 16:12:39.000000
501,2004-02-16 23:42:39.000000
502,2004-02-15 04:02:39.000000
503,2004-02-13 15:12:39.000000
504,2004-02-15 08:32:39.000000
505,2004-02-17 12:22:39.000000
506,2004-02-16 01:22:39.000000
507,2004-02-16 06:02:39.000000
508,2004-02-14 22:02:39.000000
509,2004-02-18 18:12:39.000000
510,2004-02-17 13:32:39.000000
511,2004-02-13 03:32:39.000000
512,2004-02-16 20:32:39.000000
513,2004-02-15 14:32:39.000000
514,2004-02-16 15:32:39.000000
515,2004-02-14 01:32:39.000000
516,2004-02-17 18:52:39.000000
517,2004-02-14 14:32:39.000000
518,2004-02-17 19:42:39.000000
519,2004-02-16 04:52:39.000000
520,2004-02-18 19:22:39.000000
521,2004-02-18 22:12:39.000000
522,2004-02-14 08:12:39.000000
523,2004-02-15 05:42:39.000000
524,2004-02-12 23:32:39.000000
525,2004-02-13 20:22:39.000000
526,2004-02-16 18:32:39.000000
527,2004-02-13 01:42:39.000000
528,2004-02-19 03:32:39.000000
529,2004-02-13 12:12:39.000000
530,2004-02-18 14:02:39.000000
531,2004-02-13 04:02:39.000000
532,2004-02-19 05:12:39.000000
533,2004-02-15 06:12:39.000000
534,2004-02-16 09:32:39.000000
535,2004-02-12 11:42:39.000000
536,2004-02-16 00:32:39.000000
537,2004-02-16 20:42:39.000000
538,2004-02-13 20:02:39.000000
539,2004-02-16 21:12:39.000000
540,2004-02-12 13:02:39.000000
541,2004-02-17 15:32:39.000000
542,2004-02-17 18:02:39.000000
543,2004-02-15 03:42:39.000000
544,2004-02-18 15:12:39.000000
545,2004-02-18 03:52:39.000000
546,2004-02-12 11:12:39.000000
547,2004-02-15 14:42:39.000000
548,2004-02-16 13:02:39.000000
549,2004-02-15 01:32:39.000000
550,2004-02-12 23:22:39.000000
551,2004-02-18 23:02:39.000000
552,2004-02-13 17:22:39.000000
553,2004-02-18 21:42:39.000000
554,2004-02-16 13:32:39.000000
555,2004-02-17 02:22:39.000000
556,2004-02-19 05:42:39.000000
557,2004-02-18 14:32:39.000000
558,2004-02-13 21:22:39.000000
559,2004-02-19 01:42:39.000000
560,2004-02-12 14:02:39.000000
561,2004-02-14 12:52:39.000000
562,2004-02-14 14:22:39.000000
563,2004-02-13 06:52:39.000000
564,2004-02-18 17:02:39.000000
565,2004-02-17 06:42:39.000000
566,2004-02-18 16:52:39.000000
567,2004-02-19 05:52:39.000000
568,2004-02-14 08:42:39.000000
569,2004-02-13 23:42:39.000000
570,2004-02-17 10:02:39.000000
571,2004-02-17 09:32:39.000000
572,2004-02-13 20:42:39.000000
573,2004-02-18 15:42:39.000000
574,2004-02-14 02:52:39.000000
575,2004-02-14 13:12:39.000000
576,2004-02-13 10:32:39.000000
577,2004-02-13 00:42:39.000000
578,2004-02-14 22:32:39.000000
579,2004-02-16 09:42:39.000000
580,2004-02-13 02:22:39.000000
581,2004-02-19 01:52:39.000000
582,2004-02-17 01:42:39.000000
583,2004-02-13 14:22:39.000000
584,2004-02-15 16:32:39.000000
585,2004-02-14 03:52:39.000000
586,2004-02-14 05:32:39.000000
587,2004-02-18 20:42:39.000000
588,2004-02-16 06:22:39.000000
589,2004-02-17 13:12:39.000000
590,2004-02-16 20:02:39.000000
591,2004-02-17 13:22:39.000000
592,2004-02-14 10:52:39.000000
593,2004-02-14 21:42:39.000000
594,2004-02-14 18:12:39.000000
595,2004-02-14 00:12:39.000000
596,2004-02-17 16:52:39.000000
597,2004-02-19 04:12:39.000000
598,2004-02-14 02:02:39.000000
599,2004-02-18 17:32:39.000000
600,2004-02-15 07:22:39.000000
601,2004-02-15 13:52:39.000000
602,2004-02-12 20:42:39.000000
603,2004-02-15 10:02:39.000000
604,2004-02-17 22:42:39.000000
605,2004-02-18 19:32:39.000000
606,2004-02-15 12:42:39.000000
607,2004-02-13 00:02:39.000000
608,2004-02-18 09:42:39.000000
609,2004-02-13 16:52:39.000000
610,2004-02-15 10:22:39.000000
611,2004-02-18 09:32:39.000000
612,2004-02-17 11:32:39.000000
613,2004-02-13 15:22:39.000000
614,2004-02-18 14:52:39.000000
615,2004-02-15 00:02:39.000000
616,2004-02-14 07:02:39.000000
617,2004-02-13 17:32:39.000000
618,2004-02-18 02:42:39.000000
619,2004-02-19 04:02:39.000000
620,2004-02-13 09:12:39.000000
621,2004-02-13 06:22:39.000000
622,2004-02-18 18:42:39.000000
623,2004-02-17 21:52:39.000000
624,2004-02-15 01:02:39.000000
625,2004-02-18 13:12:39.000000
626,2004-02-17 01:32:39.000000
627,2004-02-18 19:42:39.000000
628,2004-02-12 11:22:39.000000
629,2004-02-17 04:32:39.000000
630,2004-02-14 17:12:39.000000
631,2004-02-16 02:02:39.000000
632,2004-02-14 21:12:39.000000
633,2004-02-17 03:32:39.000000
634,2004-02-15 19:32:39.000000
635,2004-02-17 08:02:39.000000
636,2004-02-12 11:32:39.000000
637,2004-02-15 19:42:39.000000
638,2004-02-13 20:52:39.000000
639,2004-02-14 10:12:39.000000
640,2004-02-14 13:32:39.000000
641,2004-02-18 09:22:39.000000
642,2004-02-12 13:52:39.000000
643,2004-02-16 01:52:39.000000
644,2004-02-12 20:52:39.000000
645,2004-02-19 00:22:39.000000
646,2004-02-16 16:02:39.000000
647,2004-02-18 13:52:39.000000
648,2004-02-19 02:22:39.000000
649,2004-02-13 03:22:39.000000
650,2004-02-16 03:52:39.000000
651,2004-02-14 17:22:39.000000
652,2004-02-15 22:22:39.000000
653,2004-02-18 07:32:39.000000
654,2004-02-18 04:22:39.000000
655,2004-02-18 15:32:39.000000
656,2004-02-12 22:42:39.000000
657,2004-02-14 07:12:39.000000
658,2004-02-16 11:02:39.000000
659,2004-02-15 10:12:39.000000
660,2004-02-13 17:42:39.000000
661,2004-02-18 10:22:39.000000
662,2004-02-15 14:22:39.000000
663,2004-02-18 02:12:39.000000
664,2004-02-16 19:22:39.000000
665,2004-02-15 02:52:39.000000
666,2004-02-15 18:22:39.000000
667,2004-02-14 05:22:39.000000
668,2004-02-15 16:42:39.000000
669,2004-02-18 23:32:39.000000
670,2004-02-17 16:02:39.000000
671,2004-02-13 07:42:39.000000
672,2004-02-15 19:02:39.000000
673,2004-02-17 23:22:39.000000
674,2004-02-14 07:22:39.000000
675,2004-02-16 14:22:39.000000
676,2004-02-17 16:32:39.000000
677,2004-02-16 07:32:39.000000
678,2004-02-17 15:22:39.000000
679,2004-02-14 06:12:39.000000
680,2004-02-13 15:52:39.000000
681,2004-02-12 11:52:39.000000
682,2004-02-14 02:12:39.000000
683,2004-02-12 15:32:39.000000
684,2004-02-14 09:32:39.000000
685,2004-02-18 04:42:39.000000
686,2004-02-14 14:52:39.000000
687,2004-02-16 10:02:39.000000
688,2004-02-18 12:52:39.000000
689,2004-02-16 14:52:39.000000
690,2004-02-14 03:42:39.000000
691,2004-02-13 06:42:39.000000
692,2004-02-13 10:12:39.000000
693,2004-02-18 11:12:39.000000
694,2004-02-16 01:02:39.000000
695,2004-02-13 09:22:39.000000
696,2004-02-15 21:32:39.000000
697,2004-02-16 03:42:39.000000
698,2004-02-18 05:52:39.000000
699,2004-02-12 23:52:39.000000
700,2004-02-16 23:32:39.000000
701,2004-02-16 15:02:39.000000
702,2004-02-13 21:32:39.000000
703,2004-02-16 19:12:39.000000
704,2004-02-15 07:52:39.000000
705,2004-02-15 06:02:39.000000
706,2004-02-18 18:22:39.000000
707,2004-02-12 23:12:39.000000
708,2004-02-13 19:32:39.000000
709,2004-02-15 17:32:39.000000
710,2004-02-12 10:42:39.000000
711,2004-02-15 22:42:39.000000
712,2004-02-18 10:02:39.000000
713,2004-02-12 10:32:39.000000
714,2004-02-16 02:22:39.000000
715,2004-02-17 07:52:39.000000
716,2004-02-14 08:52:39.000000
717,2004-02-14 22:42:39.000000
718,2004-02-18 10:12:39.000000
719,2004-02-12 18:42:39.000000
720,2004-02-16 02:52:39.000000
721,2004-02-13 10:22:39.000000
722,2004-02-14 06:02:39.000000
723,2004-02-12 10:52:39.000000
724,2004-02-12 19:02:39.000000
725,2004-02-19 05:32:39.000000
726,2004-02-15 08:12:39.000000
727,2004-02-15 05:52:39.000000
728,2004-02-13 19:12:39.000000
729,2004-02-18 18:52:39.000000
730,2004-02-16 05:12:39.000000
731,2004-02-14 02:22:39.000000
732,2004-02-16 22:02:39.000000
733,2004-02-18 16:22:39.000000
734,2004-02-18 17:42:39.000000
735,2004-02-17 16:22:39.000000
736,2004-02-17 19:22:39.000000
737,2004-02-16 08:22:39.000000
738,2004-02-14 23:42:39.000000
739,2004-02-17 20:12:39.000000
740,2004-02-18 23:52:39.000000
741,2004-02-18 10:32:39.000000
742,2004-02-14 16:52:39.000000
743,2004-02-17 10:52:39.000000
744,2004-02-16 08:32:39.000000
745,2004-02-15 01:22:39.000000
746,2004-02-18 11:32:39.000000
747,2004-02-12 19:42:39.000000
748,2004-02-13 01:22:39.000000
749,2004-02-13 03:02:39.000000
750,2004-02-15 01:12:39.000000
751,2004-02-15 11:32:39.000000
752,2004-02-19 06:02:39.000000
753,2004-02-16 06:52:39.000000
754,2004-02-18 20:22:39.000000
755,2004-02-12 22:22:39.000000
756,2004-02-13 14:32:39.000000
757,2004-02-16 15:12:39.000000
758,2004-02-14 18:52:39.000000
759,2004-02-17 10:42:39.000000
760,2004-02-15 05:02:39.000000
761,2004-02-16 04:12:39.000000
762,2004-02-16 11:42:39.000000
763,2004-02-16 17:32:39.000000
764,2004-02-14 07:32:39.000000
765,2004-02-18 11:02:39.000000
766,2004-02-17 05:22:39.000000
767,2004-02-15 15:42:39.000000
768,2004-02-13 16:22:39.000000
769,2004-02-18 05:42:39.000000
770,2004-02-17 08:42:39.000000
771,2004-02-17 22:32:39.000000
772,2004-02-13 19:02:39.000000
773,2004-02-15 12:02:39.000000
774,2004-02-13 13:12:39.000000
775,2004-02-14 06:22:39.000000
776,2004-02-16 05:22:39.000000
